pregunta,respuesta,categoria
"¿Cómo configuro mis auriculares inalámbricos?","Para configurar tus auriculares inalámbricos: 1) Activa el modo Bluetooth en tu dispositivo, 2) Mantén presionado el botón de encendido de los auriculares hasta que parpadeen, 3) Busca 'Auriculares TechNova' en la lista de dispositivos Bluetooth, 4) Selecciona y conecta. Si tienes problemas, reinicia ambos dispositivos.","configuracion"
"¿Cuál es la política de devoluciones?","Ofrecemos 30 días de garantía de devolución sin preguntas. El producto debe estar en su embalaje original y sin uso. Para procesar la devolución, contacta con nuestro servicio al cliente o visita nuestra tienda física con el recibo de compra.","devoluciones"
"Mi smartwatch no carga, ¿qué hago?","Si tu smartwatch no carga: 1) Verifica que el cable esté bien conectado, 2) Limpia los contactos de carga con un paño seco, 3) Prueba con otro cargador compatible, 4) Reinicia el dispositivo manteniendo presionado el botón de encendido por 10 segundos. Si persiste el problema, contacta soporte técnico.","soporte_tecnico"
"¿Qué garantía tienen los productos TechNova?","Todos nuestros productos tienen garantía de 2 años contra defectos de fabricación. La garantía cubre reparación o reemplazo gratuito. No cubre daños por mal uso, agua o caídas. Para activar la garantía, conserva tu recibo de compra y contacta con servicio técnico.","garantia"
"¿Cómo actualizo el firmware de mi dispositivo?","Para actualizar el firmware: 1) Descarga la app oficial TechNova desde tu tienda de aplicaciones, 2) Conecta tu dispositivo vía Bluetooth, 3) Ve a Configuración > Actualizaciones, 4) Sigue las instrucciones en pantalla. Mantén el dispositivo cargado durante la actualización.","actualizaciones"
"¿Puedo usar mis auriculares con múltiples dispositivos?","Sí, nuestros auriculares soportan conexión multipunto. Puedes conectar hasta 2 dispositivos simultáneamente. Para activar esta función: 1) Conecta el primer dispositivo normalmente, 2) Mantén presionado el botón multifunción por 3 segundos, 3) Busca y conecta el segundo dispositivo desde su configuración Bluetooth.","conectividad"
"¿Qué hacer si mi dispositivo se moja?","Si tu dispositivo se moja: 1) Apágalo inmediatamente, 2) Retira cualquier accesorio, 3) Sécalo con un paño absorbente, 4) Déjalo secar en un lugar ventilado por 24-48 horas, 5) NO uses secador de pelo ni calor directo. Si el problema persiste, contacta soporte técnico.","mantenimiento"
"¿Cómo sincronizo mi smartwatch con mi teléfono?","Para sincronizar tu smartwatch: 1) Instala la app TechNova Health desde tu tienda de aplicaciones, 2) Activa Bluetooth en ambos dispositivos, 3) Abre la app y selecciona 'Agregar dispositivo', 4) Sigue las instrucciones de emparejamiento, 5) Autoriza los permisos necesarios.","sincronizacion"
"¿Cuánto tiempo dura la batería de mis auriculares?","Nuestros auriculares ofrecen hasta 8 horas de reproducción continua y hasta 24 horas con el estuche de carga. El tiempo real depende del volumen, tipo de música y uso de funciones como cancelación de ruido. Para optimizar la batería, ajusta el brillo de los LED y desactiva funciones no utilizadas.","bateria"
"¿Puedo cambiar la correa de mi smartwatch?","Sí, todas nuestras correas son intercambiables. Para cambiar la correa: 1) Presiona el botón de liberación en la parte posterior del reloj, 2) Desliza la correa hacia afuera, 3) Alinea la nueva correa con las guías, 4) Empuja hasta que escuches un clic. Ten cuidado de no forzar el mecanismo.","accesorios"
"¿Cómo activo la cancelación de ruido?","Para activar la cancelación de ruido: 1) Presiona el botón multifunción dos veces rápidamente, 2) O usa la app TechNova para ajustar los niveles, 3) También puedes usar el control de voz diciendo 'Activar cancelación de ruido'. Esta función consume más batería, úsala según necesites.","funciones"
"¿Qué hacer si mi dispositivo no se conecta al WiFi?","Si tienes problemas de conexión WiFi: 1) Verifica que la contraseña sea correcta, 2) Reinicia tu router y dispositivo, 3) Acércate al router, 4) Olvida la red y vuelve a conectarte, 5) Verifica que tu dispositivo soporte la frecuencia WiFi (2.4GHz o 5GHz). Si persiste, contacta soporte técnico.","conectividad"
"¿Cómo limpio mi dispositivo correctamente?","Para limpiar tu dispositivo: 1) Usa un paño suave y seco, 2) Para manchas persistentes, humedece ligeramente el paño con agua, 3) NO uses productos químicos, alcohol o limpiadores abrasivos, 4) Para auriculares, usa un cepillo suave para los filtros, 5) Seca completamente antes de usar.","mantenimiento"
"¿Puedo usar mis auriculares para hacer llamadas?","Sí, todos nuestros auriculares tienen micrófono integrado para llamadas. Para hacer llamadas: 1) Presiona el botón multifunción una vez para responder, 2) Presiona dos veces para rechazar, 3) Mantén presionado para activar asistente de voz, 4) Ajusta el volumen con los botones laterales durante la llamada.","llamadas"
"¿Qué incluye la caja de mi producto?","Cada producto incluye: el dispositivo principal, cable de carga USB-C, manual de usuario, garantía de 2 años, y accesorios específicos según el modelo (correas adicionales, filtros de repuesto, etc.). Algunos modelos premium incluyen estuche de carga inalámbrica.","contenido_caja"
"¿Cómo contacto con soporte técnico?","Puedes contactar con soporte técnico: 1) Por teléfono al 900-TECHNOVA (disponible 24/7), 2) Por email a soporte@technova.com, 3) Chat en vivo en nuestra web, 4) Visita nuestras tiendas físicas, 5) A través de nuestras redes sociales. Ten a mano el número de serie de tu producto.","contacto"
"¿Mi dispositivo es compatible con iOS y Android?","Sí, todos nuestros dispositivos son compatibles con iOS 12+ y Android 8+. Para la mejor experiencia, recomendamos usar las apps oficiales TechNova disponibles en App Store y Google Play Store. Algunas funciones avanzadas pueden requerir versiones más recientes del sistema operativo.","compatibilidad"
"¿Cómo activo el modo de bajo consumo?","Para activar el modo de bajo consumo: 1) Ve a Configuración > Batería > Modo de bajo consumo, 2) O usa la app TechNova para configurar horarios automáticos, 3) También se activa automáticamente cuando la batería llega al 20%. Este modo reduce funciones no esenciales para extender la duración de la batería.","bateria"
"¿Puedo personalizar las notificaciones de mi smartwatch?","Sí, puedes personalizar completamente las notificaciones: 1) Abre la app TechNova Health, 2) Ve a Configuración > Notificaciones, 3) Selecciona qué apps pueden enviar notificaciones, 4) Configura el tipo de vibración, 5) Establece horarios de 'No molestar'. Puedes crear perfiles personalizados para diferentes situaciones.","personalizacion"
"¿Qué hacer si mi dispositivo se congela?","Si tu dispositivo se congela: 1) Mantén presionado el botón de encendido por 15 segundos para reinicio forzado, 2) Si no responde, déjalo descargar completamente y luego cárgalo, 3) Como último recurso, realiza un reset de fábrica (esto borrará todos los datos), 4) Si persiste, contacta soporte técnico.","soporte_tecnico"
